card_txn_id,card_id,txn_date,merchant_category,amount,is_fraud,customer_id,name,city,state,occupation,annual_income_x,credit_score,txn_year,txn_month,txn_day,txn_day_of_week,txn_hour,amount_income_ratio,amount_log,avg_amount,std_amount,total_spent,txn_count,annual_income_y,total_fraud,fraud_rate,merchant_category_encoded,city_encoded,state_encoded,occupation_encoded,fraud_probability,predicted_fraud,risk_level,is_life_event
1117669,50389,2026-05-12,Fund Transfer,733.27,0,48136,Richard Rodriguez,Kochi,Kerala,Retired,811400,796,2026,5,12,1,0,0.0009037085238987873,6.598876808386687,2077.01243902439,1705.7936550720026,85157.51,41,811400,0,0.0,5,9,3,2,0.00019533935,0,Low,False
2177495,53473,2019-10-27,Fuel,2896.26,0,31022,Vikram Malhotra,Pune,Maharashtra,Salaried - Private,2146040,730,2019,10,27,6,0,0.0013495827898907804,7.971520741757426,1779.1951908396948,1559.6127461187039,233074.57,131,2146040,0,0.0,4,14,5,4,8.291319e-05,0,Low,False
1777091,64315,2026-01-29,Healthcare,457.09,0,28389,Kavya Malhotra,Lucknow,Uttar Pradesh,Retired,779568,803,2026,1,29,3,0,0.0005863368091855885,6.12706567135952,1908.203125,1948.0453308545943,305312.5,160,779568,2,0.012422360248447204,7,11,10,2,0.022527138,0,Low,False
1510277,25577,2025-11-13,Travel,1091.74,0,855,Richard Williams,Jaipur,Rajasthan,Retired,1245247,618,2025,11,13,3,0,0.0008767249575988076,6.996443582477575,1565.0035714285714,1391.4234387267425,65730.15,42,1245247,0,0.0,12,8,7,2,0.00020159534,0,Low,False
2631810,30191,2018-08-29,ATM Withdrawal,3977.09,0,2002,Neha Kapoor,Mumbai,Maharashtra,Retired,2932191,483,2018,8,29,2,0,0.0013563538813283714,8.288557083592378,1841.3290361445784,1814.1149875747426,305660.62,166,2932191,1,0.005988023952095809,0,12,5,2,0.04369094,0,Low,False
1513805,59222,2026-03-15,Shopping,872.26,1,4782,William Smith,Nagpur,Maharashtra,Retired,2683924,570,2026,3,15,6,0,0.0003249941783022998,6.772233335095751,1653.4236734693877,1734.5309447548461,162035.52,98,2683924,1,0.010101010101010102,11,13,5,2,0.020430109,0,Low,False
1320671,43060,2018-09-17,Salary Credit,667.19,0,3862,Michael Iyer,Pune,Maharashtra,Salaried - Private,2690085,378,2018,9,17,0,0,0.0002480180931018562,6.504572564231503,1740.4714912280701,1652.234870727585,198413.75,114,2690085,2,0.017391304347826087,10,14,5,4,0.018176604,0,Low,False
374250,27856,2018-11-01,Entertainment,1004.5,0,20673,Sneha Nair,Jaipur,Rajasthan,Self Employed,2156836,717,2018,11,1,3,0,0.0004657282863749092,6.913240209212707,2036.3799999999999,2229.718652681406,107928.14,53,2156836,1,0.018518518518518517,3,8,7,5,0.3090084,0,High,False
192105,54845,2019-03-02,Fuel,3743.13,0,55444,Elizabeth Rao,Chandigarh,Punjab,Freelancer,703305,699,2019,3,2,5,0,0.005322192616016358,8.227944559216903,1901.1506506849314,2008.113811153033,555135.99,292,703305,1,0.0034129692832764505,4,3,6,1,0.0005474829,0,Low,False
2602499,45011,2018-01-21,Shopping,125.78,0,2061,Deepak Williams,Chennai,Tamil Nadu,Salaried - Government,2115444,528,2018,1,21,6,0,5.945793910973814e-05,4.84245330085602,1756.1974100719424,1605.4476837460068,244111.44,139,2115444,2,0.014285714285714285,11,4,8,3,0.012641984,0,Low,False
